tweet_id,favorite_count,retweet_count
793601777308463104,7877,1582
793500921481273345,10519,2331
793286476301799424,24226,8975
793271401113350145,8574,2349
793256262322548741,19693,8185
793241302385262592,10358,3234
793226087023144960,9670,2823
793210959003287553,8799,2744
793195938047070209,15049,5511
793180763617361921,6839,1960
793165685325201412,9257,2725
793150605191548928,6097,1665
793135492858580992,6305,2454
793120401413079041,12477,3830
792913359805018113,14098,3894
792883833364439040,11127,4176
792773781206999040,7254,1644
792394556390137856,13209,4218
792050063153438720,7030,1751
791821351946420224,0,20669
791784077045166082,0,9353
791780927877898241,0,3745
791774931465953280,44404,21714
791672322847637504,11578,3072
791406955684368384,12950,4028
791312159183634433,8628,2480
791026214425268224,0,4011
790987426131050500,9669,2088
790946055508652032,16420,4591
790723298204217344,0,2258
790698755171364864,8082,1882
790581949425475584,20341,6957
790337589677002753,7716,1851
790277117346975746,12369,3111
790227638568808452,0,3482
789986466051088384,9115,2258
789960241177853952,0,4015
789903600034189313,10185,4054
789628658055020548,7368,1728
789599242079838210,6638,1880
789530877013393408,11543,3302
789314372632018944,8507,2245
789280767834746880,0,4817
789268448748703744,8971,2559
789137962068021249,9548,2725
788908386943430656,27007,12223
788765914992902144,26895,10074
788552643979468800,0,6993
788412144018661376,15291,5152
788178268662984705,7125,2050
788150585577050112,6020,1252
788070120937619456,0,3361
788039637453406209,6031,1282
787810552592695296,8485,2983
787717603741622272,10101,2714
787397959788929025,10722,2789
787322443945877504,7670,1701
787111942498508800,0,6605
786963064373534720,26209,7798
786729988674449408,0,2380
786709082849828864,17968,5993
786664955043049472,10413,2478
786595970293370880,9312,3062
786363235746385920,10708,3396
786286427768250368,7841,2769
786233965241827333,14991,4600
786051337297522688,1400,153
786036967502913536,0,6824
785927819176054784,11207,3119
785872687017132033,6599,1760
785639753186217984,7736,2190
785533386513321988,8940,1944
785515384317313025,6017,1228
785264754247995392,7148,1590
785170936622350336,11829,4715
784826020293709826,9929,3162
784517518371221505,8825,2468
784431430411685888,5632,1239
784183165795655680,19685,7830
784057939640352768,29214,10823
783839966405230592,29438,10520
783821107061198850,7243,1913
783695101801398276,10275,3134
783466772167098368,8290,2177
783391753726550016,16586,5328
783347506784731136,0,5398
783334639985389568,28572,11376
783085703974514689,8020,2139
782969140009107456,23700,7169
782747134529531904,7336,1377
782722598790725632,16924,5252
782598640137187329,7665,1830
782305867769217024,16338,5398
782021823840026624,0,6037
781955203444699136,10940,3281
781661882474196992,10250,2647
781655249211752448,3923,1105
781524693396357120,20364,5412
781308096455073793,7007,2491
781251288990355457,8245,2020
781163403222056960,9617,2687
780931614150983680,21212,7078
780858289093574656,7064,1957
780800785462489090,5373,1261
780601303617732608,11863,3274
780543529827336192,6170,1700
780496263422808064,0,3570
780476555013349377,0,109
780459368902959104,5189,1045
780192070812196864,8526,2183
780092040432480260,0,2234
780074436359819264,11885,4810
779834332596887552,18491,6824
779377524342161408,8590,3018
779124354206535695,0,17768
779056095788752897,14447,4391
778990705243029504,19527,6978
778774459159379968,0,9595
778764940568104960,845,353
778748913645780993,6731,1267
778650543019483137,5633,1454
778624900596654080,4513,983
778408200802557953,13339,4184
778396591732486144,0,11859
778383385161035776,5696,1066
778286810187399168,10147,3204
778039087836069888,8310,2566
778027034220126208,6411,1559
777953400541634568,0,3419
777885040357281792,6226,1582
777684233540206592,10986,2845
777641927919427584,0,4102
777621514455814149,8537,2440
777189768882946048,13923,4190
776819012571455488,0,13286
776813020089548800,4775,1170
776477788987613185,8608,2683
776249906839351296,0,8840
776218204058357768,29178,15362
776201521193218049,9358,2445
776113305656188928,11503,4218
776088319444877312,1791,147
775898661951791106,0,16264
775842724423557120,11436,2578
775733305207554048,13575,3877
775729183532220416,12702,4471
775364825476165632,7218,2863
775350846108426240,9915,3794
775085132600442880,15183,4572
774757898236878852,8415,1733
774639387460112384,6584,1678
774314403806253056,21273,5349
773985732834758656,10489,3742
773922284943896577,6252,1695
773704687002451968,6448,1569
773670353721753600,5223,1274
773547596996571136,21594,5955
773336787167145985,0,4887
773308824254029826,22759,7243
773247561583001600,9243,3157
